Origem,Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,4811
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,1550
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,131
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SANTA CATARINA,60
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,31
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,21
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,17
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,2
COLÉGIO REC. JUIZADO ESPECIAL CÍVEL COM. DE JAÚ/SP,2
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE MANAUS/AM,2
JUIZADOS ESPECIAIS (ART.98 DA C.F.),2
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,2
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 5º REGIÃO,2
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM.GUARATINGUETÁ/SP,1
TURMA JULG. CRIM. JUIZADOS ESP. COMARCA GOIÂNIA-GO,1
3º COLEGIO REC.JUIZ.ESP.CIVEIS DA CAPITAL/SP,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.RIO GRANDE DO SUL,1
COLÉGIO REC.DO JUIZ.ESP.CIVEL DA COM.DE PIRACICABA,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 2º REGIÃO,1
