Origem,Processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,3150
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,976
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,398
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SANTA CATARINA,140
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,65
1º COLG. RECURSAL DOS JUIZ.ESPECIAIS CIVEIS/PE  ,49
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,25
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,17
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,9
JUIZADO DE PEQUENAS CAUSAS,9
COLEGIO REC.JUIZ.ESP.CIVEIS E CRIMINAIS DO ESTADO ,6
1º COLEGIO REC.DOS JUIZADOS ESP.CIVEIS - RECIFE/PE,6
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,5
JUIZADOS ESPECIAIS DE PEQUENAS CAUSAS  DE BAURU/SP,5
JUIZADO ESPECIAL CÍVEL DE DEFESA DO CONSUMIDOR,5
1º COL.REC.DOS JUIZ.ESP.CIV.DA COM. DA CAPITAL/SP,3
JUIZADO ESPECIAL CIVEL DA COMARCA DE BAURU ,2
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,2
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,2
2º COLEGIO REC.DOS JUIZ. ESP.CIVEIS DA CAPITAL/SP,1
COLÉGIO RECURSAL JUIZ.ESP.CÍVEL DA COMARCA JUNDIAI,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,1
1ª TURMA REC. DOS JUIZADOS ESP. CIVEIS E CRIM./DF,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MATO GROSSO DO SUL,1
2ª TURMA REC.CIV.DOS JUIZ.ESP.ESTADO MATO GROSSO,1
2ª TURMA REC.JUIZ.ESP.CIV. CRIM.COM.RIO BRANCO-AC,1
TURMAS REC.JUIZ.ESP.CIV.E CRIM.DA COM.FORTALEZA/CE,1
JUIZADO ESPECIAL CIVEL DA COMARCA DE SOROCABA,1
TURMA REC DO JUIZADO ESPECIAL CÍVEL DE UBERLÂNDIA,1
TURMA JULG. CRIM. JUIZADOS ESP. COMARCA GOIÂNIA-GO,1
2º COLEGIO REC. JUIZ.ESP.CIVEIS DA  CAPITAL/SP,1
2ª TURMA REC.CIVEIS DOS JUIZ.ESPECIAIS DE CUIABA,1
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS/ES,1
1ª TURMA REC. CÍVEL JUIZ.ESP.ESTADO DE MATO GROSSO,1
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. MINAS GERAIS,1
JUIZADOS ESPECIAIS (ART.98 DA C.F.),1
COL. REC. DO JUIZ. ESP.CÍV. DA COM. DE SÃO CAETANO DO SUL,1
1ª TURMA REC.JUIZ.ESP.CIVEL ECRIM. ESTADO DO ACRE,1
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE MANAUS/AM,1
