Origem,Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,23969
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,3013
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,696
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,39
TURMA REC. ÚNICA JUIZADOS ESP. CIV. E CRIM. PARANÁ,26
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,22
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,7
CONSELHO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS DO ESTADO DO RIO DE JANEIRO.,5
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,5
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,4
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PERNAMBUCO,4
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 5º REGIÃO,4
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,4
1ª TURMA REC. DOS JUIZADOS ESP. CIVEIS E CRIM./DF,3
2ª TURMA REC. DOS JUIZADOS ESP. CIVEIS E CRIM./DF,3
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,3
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,3
1ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,2
2º COLEGIO REC. JUIZ.ESP.CIVEIS DA  CAPITAL/SP,2
3ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,2
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SANTA CATARINA,2
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS/ES,2
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ARARAQUARA /SP ,2
2ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.AMAZONAS E RORAIMA,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.ALAGOAS,1
TURMA REC.CIV.JUIZ.ESP.REL.CONSUMO/BELO HORIZONTE,1
COLÉGIO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS DA COMARCA DE ITAPETININGA/SP,1
TURMA REC. DOS JUIZADOS ESP. FED. DE OSASCO/SP,1
TURMA REC.JUIZ.ESP.CÍV/CRIMINAIS DE CATAGUASES/MG,1
COLEGIADO REC. JUIZADOS ESP. DO ESTADO DA BAHIA,1
2ª TURMA RECURSAL DOS JUIZADOS ESPECIAIS/PA,1
I JUIZADO ESPECIAL CÍVEL DE NOVA FRIBURGO/RJ,1
TURMA NAC.DE UNIFORMIZAÇAO DOS JUIZ.ESP.FEDERAIS,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SERGIPE,1
JUIZADO ESP. CIVEL DA COMARCA DE BELO HORIZONTE ,1
1ª TURMA REC. DOS JUIZADOS ESP. FEDERAIS DA SJ/RJ,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.DISTRITO FEDERAL ,1
COL. REC. DO JUIZ. ESP.CÍV. DA COM. DE SÃO CAETANO DO SUL,1
COL. REC. JUIZADO ESP. CÍVEL MOGI DAS CRUZES/SP,1
JUIZADOS ESPECIAIS (ART.98 DA C.F.),1
JUIZADO ESPECIAL CRIMINAL DE JUIZ DE FORA ,1
COLÉGIO REC. JUIZ. ESP. CIVEIS DE PRES.PRUDENTE/SP,1
JUIZADO ESPECIAL CRIM. DA COM.DE BELO HORIZONTE,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS DO ESTADO DO AMAPÁ,1
2º COLEGIO REC.DOS JUIZ. ESP.CIVEIS DA CAPITAL/SP,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.GOIAS,1
3ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA,1
COLEGIO REC.DOS JUIZ. ESP.DA COMARCA DE AMERICANA/SP,1
2ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE ,1
1ª TURMA REC.DOS JUIZ.ESP.CIVEIS DE BELO HORIZONTE,1
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS DE BAURU/SP,1
3º COLEGIO REC.JUIZ.ESP.CIVEIS DA CAPITAL/SP,1
2ª TURMA REC.CIV.DOS JUIZ.ESP.ESTADO MATO GROSSO,1
4º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,1
