Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,7
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,3
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.DISTRITO FEDERAL ,1
