"area","processos"
"Administrativo/público (outras)","2544"
"Civil","309"
"Da criança e do adolescente","12"
"Do consumidor","130"
"Do trabalho","602"
"Eleitoral e processo eleitoral","57"
"Internacional","1"
"Marítimo","0"
"Penal","330"
"Previdenciário","81"
"Processual civil e do trabalho","1366"
"Processual penal","506"
"Registros públicos","2"
"Tributário","641"
