"area","processos"
"Administrativo/público (outras)","3195"
"Civil","1474"
"Da criança e do adolescente","15"
"Do consumidor","372"
"Do trabalho","1067"
"Eleitoral e processo eleitoral","49"
"Internacional","1"
"Marítimo","0"
"Penal","802"
"Previdenciário","194"
"Processual civil e do trabalho","1998"
"Processual penal","1225"
"Registros públicos","6"
"Tributário","2325"
