"area","processos"
"Processual penal","539"
"Do trabalho","5629"
"Internacional","2"
"Eleitoral e processo eleitoral","56"
"Previdenciário","1320"
"Processual civil e do trabalho","2717"
"Da criança e do adolescente","3"
"Tributário","1920"
"Do consumidor","1772"
"Registros públicos","6"
"Penal","294"
"Civil","782"
"Administrativo/público (outras)","4640"
"Marítimo","0"
