"area","processos"
"Administrativo/público (outras)","1079"
"Civil","115"
"Da criança e do adolescente","4"
"Do consumidor","44"
"Do trabalho","465"
"Eleitoral e processo eleitoral","20"
"Internacional","2"
"Marítimo","0"
"Penal","264"
"Previdenciário","18"
"Processual civil e do trabalho","361"
"Processual penal","201"
"Registros públicos","0"
"Tributário","271"
