"area","processos"
"Processual penal","352"
"Do trabalho","1053"
"Eleitoral e processo eleitoral","30"
"Previdenciário","1581"
"Processual civil e do trabalho","1413"
"Da criança e do adolescente","4"
"Tributário","2651"
"Do consumidor","296"
"Registros públicos","2"
"Penal","148"
"Civil","1273"
"Administrativo/público (outras)","3845"
"Internacional","0"
"Marítimo","0"
