"area","processos"
"Administrativo/público (outras)","3524"
"Civil","834"
"Da criança e do adolescente","3"
"Do consumidor","289"
"Do trabalho","2865"
"Eleitoral e processo eleitoral","90"
"Internacional","5"
"Marítimo","2"
"Penal","355"
"Previdenciário","133"
"Processual civil e do trabalho","2832"
"Processual penal","1097"
"Registros públicos","13"
"Tributário","1070"
