"area","processos"
"Administrativo/público (outras)","32165"
"Civil","10116"
"Da criança e do adolescente","97"
"Do consumidor","5914"
"Do trabalho","59756"
"Eleitoral e processo eleitoral","315"
"Internacional","15"
"Marítimo","0"
"Penal","2898"
"Previdenciário","5085"
"Processual civil e do trabalho","18177"
"Processual penal","6456"
"Registros públicos","43"
"Tributário","35630"
