"area","processos"
"Administrativo/público (outras)","1277"
"Civil","232"
"Da criança e do adolescente","5"
"Do consumidor","746"
"Do trabalho","291"
"Eleitoral e processo eleitoral","18"
"Internacional","0"
"Marítimo","0"
"Penal","182"
"Previdenciário","13"
"Processual civil e do trabalho","264"
"Processual penal","424"
"Registros públicos","0"
"Tributário","249"
