"area","processos"
"Administrativo/público (outras)","475"
"Civil","256"
"Da criança e do adolescente","3"
"Do consumidor","34"
"Do trabalho","320"
"Eleitoral e processo eleitoral","30"
"Internacional","0"
"Marítimo","0"
"Penal","102"
"Previdenciário","17"
"Processual civil e do trabalho","182"
"Processual penal","155"
"Registros públicos","1"
"Tributário","88"
