"area","processos"
"Processual penal","293"
"Do trabalho","2152"
"Eleitoral e processo eleitoral","58"
"Previdenciário","88"
"Processual civil e do trabalho","1350"
"Da criança e do adolescente","2"
"Tributário","678"
"Do consumidor","215"
"Registros públicos","1"
"Penal","183"
"Civil","633"
"Administrativo/público (outras)","2397"
"Internacional","0"
"Marítimo","0"
