"area","processos"
"Processual penal","498"
"Do trabalho","927"
"Eleitoral e processo eleitoral","44"
"Previdenciário","221"
"Processual civil e do trabalho","1048"
"Da criança e do adolescente","19"
"Tributário","430"
"Do consumidor","37"
"Registros públicos","3"
"Penal","102"
"Civil","216"
"Administrativo/público (outras)","2312"
"Internacional","0"
"Marítimo","0"
