"area","processos"
"Processual penal","424"
"Do trabalho","291"
"Eleitoral e processo eleitoral","18"
"Previdenciário","13"
"Processual civil e do trabalho","264"
"Da criança e do adolescente","5"
"Tributário","249"
"Do consumidor","746"
"Penal","182"
"Civil","232"
"Administrativo/público (outras)","1277"
"Internacional","0"
"Registros públicos","0"
"Marítimo","0"
