"area","processos"
"Processual penal","247"
"Do trabalho","6693"
"Internacional","10"
"Eleitoral e processo eleitoral","43"
"Marítimo","2"
"Previdenciário","1333"
"Processual civil e do trabalho","1499"
"Da criança e do adolescente","1"
"Tributário","1772"
"Do consumidor","62"
"Registros públicos","2"
"Penal","96"
"Civil","346"
"Administrativo/público (outras)","4595"
