"area","processos"
"Administrativo/público (outras)","4640"
"Civil","782"
"Da criança e do adolescente","3"
"Do consumidor","1772"
"Do trabalho","5629"
"Eleitoral e processo eleitoral","56"
"Internacional","2"
"Marítimo","0"
"Penal","294"
"Previdenciário","1320"
"Processual civil e do trabalho","2717"
"Processual penal","539"
"Registros públicos","6"
"Tributário","1920"
