"area","processos"
"Administrativo/público (outras)","7757"
"Civil","852"
"Da criança e do adolescente","4"
"Do consumidor","166"
"Do trabalho","10814"
"Eleitoral e processo eleitoral","130"
"Internacional","4"
"Marítimo","0"
"Penal","276"
"Previdenciário","1283"
"Processual civil e do trabalho","2590"
"Processual penal","1145"
"Registros públicos","4"
"Tributário","4815"
