"area","processos"
"Processual penal","2417"
"Do trabalho","13020"
"Internacional","18"
"Eleitoral e processo eleitoral","48"
"Marítimo","2"
"Previdenciário","21588"
"Processual civil e do trabalho","10236"
"Da criança e do adolescente","114"
"Tributário","24028"
"Do consumidor","1515"
"Registros públicos","6"
"Penal","1189"
"Civil","5984"
"Administrativo/público (outras)","22916"
