"area","processos"
"Administrativo/público (outras)","46385"
"Civil","18683"
"Da criança e do adolescente","178"
"Do consumidor","11291"
"Do trabalho","19033"
"Eleitoral e processo eleitoral","149"
"Internacional","86"
"Marítimo","14"
"Penal","2739"
"Previdenciário","33331"
"Processual civil e do trabalho","18172"
"Processual penal","7877"
"Registros públicos","50"
"Tributário","35741"
