"area","processos"
"Processual penal","1097"
"Do trabalho","2865"
"Internacional","5"
"Eleitoral e processo eleitoral","90"
"Marítimo","2"
"Previdenciário","133"
"Processual civil e do trabalho","2832"
"Da criança e do adolescente","3"
"Tributário","1070"
"Do consumidor","289"
"Registros públicos","13"
"Penal","355"
"Civil","834"
"Administrativo/público (outras)","3524"
