"area","processos"
"Administrativo/público (outras)","72010"
"Civil","52738"
"Da criança e do adolescente","178"
"Do consumidor","13198"
"Do trabalho","30689"
"Eleitoral e processo eleitoral","109"
"Internacional","32"
"Marítimo","8"
"Penal","4808"
"Previdenciário","43317"
"Processual civil e do trabalho","35189"
"Processual penal","9489"
"Registros públicos","64"
"Tributário","56015"
