"area","processos"
"Administrativo/público (outras)","2397"
"Civil","633"
"Da criança e do adolescente","2"
"Do consumidor","215"
"Do trabalho","2152"
"Eleitoral e processo eleitoral","58"
"Internacional","0"
"Marítimo","0"
"Penal","183"
"Previdenciário","88"
"Processual civil e do trabalho","1350"
"Processual penal","293"
"Registros públicos","1"
"Tributário","678"
