"area","processos"
"Processual penal","342"
"Do trabalho","240"
"Eleitoral e processo eleitoral","25"
"Previdenciário","189"
"Processual civil e do trabalho","559"
"Da criança e do adolescente","4"
"Tributário","176"
"Do consumidor","37"
"Registros públicos","24"
"Penal","257"
"Civil","198"
"Administrativo/público (outras)","961"
"Internacional","0"
"Marítimo","0"
