"area","processos"
"Administrativo/público (outras)","2312"
"Civil","216"
"Da criança e do adolescente","19"
"Do consumidor","37"
"Do trabalho","927"
"Eleitoral e processo eleitoral","44"
"Internacional","0"
"Marítimo","0"
"Penal","102"
"Previdenciário","221"
"Processual civil e do trabalho","1048"
"Processual penal","498"
"Registros públicos","3"
"Tributário","430"
