"area","processos"
"Processual penal","2689"
"Do trabalho","16273"
"Internacional","106"
"Eleitoral e processo eleitoral","336"
"Previdenciário","3007"
"Processual civil e do trabalho","13001"
"Da criança e do adolescente","64"
"Tributário","17137"
"Do consumidor","844"
"Registros públicos","24"
"Penal","1775"
"Civil","4984"
"Administrativo/público (outras)","47986"
"Marítimo","0"
