"area","processos"
"Processual penal","372"
"Do trabalho","7228"
"Internacional","9"
"Eleitoral e processo eleitoral","20"
"Previdenciário","1735"
"Processual civil e do trabalho","2201"
"Da criança e do adolescente","4"
"Tributário","2112"
"Do consumidor","260"
"Registros públicos","3"
"Penal","154"
"Civil","1706"
"Administrativo/público (outras)","10582"
"Marítimo","0"
