"area","processos"
"Administrativo/público (outras)","47986"
"Civil","4984"
"Da criança e do adolescente","64"
"Do consumidor","844"
"Do trabalho","16273"
"Eleitoral e processo eleitoral","336"
"Internacional","106"
"Marítimo","0"
"Penal","1775"
"Previdenciário","3007"
"Processual civil e do trabalho","13001"
"Processual penal","2689"
"Registros públicos","24"
"Tributário","17137"
