"area","processos"
"Processual penal","26140"
"Do trabalho","40454"
"Internacional","146"
"Eleitoral e processo eleitoral","495"
"Marítimo","12"
"Previdenciário","46441"
"Processual civil e do trabalho","71382"
"Da criança e do adolescente","249"
"Tributário","121069"
"Do consumidor","13236"
"Registros públicos","159"
"Penal","6815"
"Civil","38844"
"Administrativo/público (outras)","86128"
