"uf","processos"
AC,716
AL,3103
AM,6035
AP,752
BA,9923
CE,4471
DF,19843
ES,6254
GO,11408
MA,2003
MG,45235
MS,7554
MT,3075
PA,3484
PB,5506
PE,19872
PI,1896
PR,37164
RJ,86605
RN,11942
RO,1710
RR,791
RS,86707
SC,22952
SE,4188
SP,131413
TO,691
