origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,2349
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,486
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,204
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. RIO DE JANEIRO,170
CONSELHO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS DO ESTADO DO RIO DE JANEIRO.,113
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,51
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,36
3ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,14
1ª TURMA REC.JUIZ.ESP.CÍV.ESTADO DO RIO DE JANEIRO,7
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,4
4ª TURMA REC. DO CONS. REC. DOS JUIZ. ESP. CÍV. E CRIM. DA COM. DA CAPITAL DO ESTADO DO RIO DE JANEIRO.,3
1ª TURMA REC. DOS JUIZADOS ESP. FEDERAIS DA SJ/RJ,1
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ITÚ/SP,1
JUIZADOS ESPECIAIS (ART.98 DA C.F.),1
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,1
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
