origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,2037
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,46
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PERNAMBUCO,33
1º COLEGIO REC.DOS JUIZADOS ESP.CIVEIS - RECIFE/PE,29
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,22
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 5º REGIÃO,2
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,1
