Origem,Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,1570
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,1266
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,1009
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,845
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,150
CONSELHO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS DO ESTADO DO RIO DE JANEIRO.,129
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.DISTRITO FEDERAL ,67
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,59
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,44
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 5º REGIÃO,25
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 2º REGIÃO,16
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 3º REGIÃO,11
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MATO GROSSO,5
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,3
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.BAHIA,3
TURMA REC. DOS JUIZADOS ESPEC. FEDERAIS DO DF,2
TURMA NACIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,2
TURMA NACIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS DA 2º REGIÃO,1
TURMA REGIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS DA 3º REGIÃO,1
TURMA REGIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,1
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PARANÁ,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SÃO PAULO,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.AMAZONAS E RORAIMA,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.RIO GRANDE DO SUL,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PERNAMBUCO,1
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. RIO DE JANEIRO,1
