Origem,Processos
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,24
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS DE BAURU/SP,23
1º COL.REC.DOS JUIZ.ESP.CIV.DA COM. DA CAPITAL/SP,23
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MATO GROSSO,20
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.DE MINAS GERAIS,19
3ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,18
2ª TURMA REC. M. DOS JUIZADOS ESP. CÍV. E CRIM./MS,18
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. MINAS GERAIS,18
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PARAIBA ,17
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,15
TURMA RECURSAL DOS JUIZADOS ESPECIAIS DO ESTADO DO AMAPÁ,14
3ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,14
2ª TURMA REC. DOS JUIZADOS ESP. CIVEIS E CRIM./DF,13
1ª TURMA REC. DOS JUIZADOS ESP. CIVEIS E CRIM./DF,11
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.AMAZONAS E RORAIMA,11
TURMA REC. DOS JUIZADOS ESP. FED. DE OSASCO/SP,11
2ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE ,11
3º COLEGIO REC.JUIZ.ESP.CIVEIS DA CAPITAL/SP,11
3ª TURMA REC.MISTA JUIZ.ESP.CÍVEIS.CRIM.DE MS,9
4ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,9
1ª TURMA REC.DOS JUIZ.ESP.CIVEIS DE BELO HORIZONTE,9
3ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,9
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.RIO GRANDE DO NORTE,8
2ª TURMA RECURSAL DOS JUIZADOS ESPECIAIS/PA,8
COLEGIO REC.DOS JUIZ.ESP.CIVEL DE PIRASSUNUNGA/SP,7
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL DE TUPÃ,7
COLÉGIO REC.JUIZ.ESP.CIVEL DA COM.DE SAO CARLOS/SP,7
COLEGIADO REC. JUIZADOS ESP. DO ESTADO DA BAHIA,7
1ª TURMA REC.JUIZ.ESP.CÍV.ESTADO DO RIO DE JANEIRO,7
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MARANHAO,7
2º COLEGIO REC.DOS JUIZ. ESP.CIVEIS DA CAPITAL/SP,6
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. SÃO PAULO,6
6ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,5
1ª TURMA REC.JUIZ.ESP.CIV.E CRIMINAIS COM.DE NATAL,5
2ª TURMA REC.JUIZ.ESP.CIV.E CRIM. ESTADO DA BAHIA,5
5ª TURMA REC.JUIZ.ESP.CIV.E CRIM. FORTALEZA/CE,5
1ª TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SÃO PAULO,5
1ª TURMA RECURSAL DOS JUIZADOS ESPECIAIS/PA,5
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,4
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,4
COLÉGIO RECURSAL JUIZ.ESP.CÍVEL DA COMARCA JUNDIAI,4
COLÉGIO REC.JUIZ.ESP.CIVEL DA COM.DE VOTUPORANGA,4
TURMA REC.DO JUIZADO ESP.CIVEL DA COM.DE LAVRAS/MG,4
TURMA REC.JUIZ. ESP.CIV.E CRIM.DE POUSO ALEGRE/MG,4
5ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE,3
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.ALAGOAS,3
6º COLÉGIO REC. DO JUIZ. ESP. CÍVEL DA COMARCA DA CAPITAL/SP,3
4º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,3
COLÉGIO REC.DO JUIZ.ESP.CIVEL DA COM.DE PIRACICABA,3
1ª TURMA REC.CRIM.JUIZADOS ESP.RIO GRANDE DO SUL,3
2ª TURMA REC.DOS JUIZ.ESP.CIV. E CRIM.DE NATAL/RN,3
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. TAUBATÉ/SP,3
4ª TURMA REC. DO CONS. REC. DOS JUIZ. ESP. CÍV. E CRIM. DA COM. DA CAPITAL DO ESTADO DO RIO DE JANEIRO.,3
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 5º REGIÃO,3
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.GOIAS,3
2ª TURMA REC.JUIZ.ESP.CIV.E CRIM. FORTALEZA/CE,3
JUIZADOS ESPECIAIS (ART.98 DA C.F.),3
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. SÃO VICENTE/SP,3
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SÃO PAULO,3
8ªTURMA REC.J.ESP.REL.CONSUMO COM. BELO HORIZONTE,2
COLÉGIO REC.JUIZADO ESPECIAL CÍVEL DE ARAÇATUBA/SP,2
5º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,2
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COMARCA DE OSASCO ,2
COLÉGIO REC. JUIZ. ESP. CIVEIS DE PRES.PRUDENTE/SP,2
COL.REC.JUIZ.ESP.CÍVEIS 44ª CIRC. JUD.GUARULHOS/SP,2
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ITÚ/SP,2
TURMA REC.DO JUIZ.ESP.CIVEL DA COM.DE LONDRINA/PR ,2
COLÉGIO REC. DO JUIZADO ESPECIAL DE SANTOS,2
1ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA  ,2
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,2
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ARARAQUARA /SP ,2
TURMA REC.DO JUIZADO ESPECIAL DE PORTO ALEGRE/RS,2
TURMA JULG.DO JUIZ.ESP.CIVEL DA COM.DE GURUPI/TO,1
COL. REC. JUIZADO ESP. CÍVEL MOGI DAS CRUZES/SP,1
COLEGIO REC.DO JUIZ.ESP.CIVEL- COM.DE SANTO ANDRE,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.CEARÁ,1
JUIZADO ESP. CIVEL DA COMARCA DE BELO HORIZONTE ,1
TURMA REC. DOS JUIZ.ESP.CIV. CRIMINAIS DE MANAUS  ,1
TURMA REC. DOS JUIZADOS ESP. FED. DE CAMPINAS/SP,1
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE MANAUS/AM,1
1ª TURMA REC. DOS JUIZADOS ESP. FEDERAIS DA SJ/RJ,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 3º REGIÃO,1
COLEGIO REC.JUIZ.ESP.CIVEL COMAR. PRES.PRUDENTE/SP,1
TURMA JULG. CRIM. JUIZADOS ESP. COMARCA GOIÂNIA-GO,1
COLEGIO REC.DO JUIZ.ESP.CIV.DA COM.DE RIO CLARO/SP,1
COLEGIO REC.DOS JUIZ. ESP.DA COMARCA DE AMERICANA/SP,1
TURMA RECURSAL JUIZ.ESP.CIVEL DA COMARCA DE ARAXA,1
2ª TURMA REC.DO JUIZADO ESPECIAL DE DIVINOPOLIS,1
7ª TURMA REC DO JUIZ. ESP. CÍVEL COM. B. HORIZONTE,1
TURMA NAC.DE UNIFORMIZAÇAO DOS JUIZ.ESP.FEDERAIS,1
TURMA REC.CIV.JUIZ.ESP.REL.CONSUMO/BELO HORIZONTE,1
6ª TURMA REC.JUIZ.ESP.CIV.E CRIM. FORTALEZA/CE,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PIAUI,1
TURMA REC.DOS JUIZ.ESP.CIVEIS E CRIM.DE PARACATU,1
COLÉGIO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS DA COMARCA DE ITAPETININGA/SP,1
3ª TURMA REC.CIVEL DOS JUIZ.ESPECIAIS DE CUIABA,1
2ª TURMA REC.CIVELDOS JUIZ.ESP.DE CUIABA/MT,1
TURMA RECURSAL DOS JUIZ.ESP.FEDERAIS DE CURITIBA,1
3ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA,1
2ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA,1
1ª TURMA REC. JUIZ. ESP. CRIMINAL - BELO HORIZONTE,1
2ª TURMA REC. JUIZ. ESP. CRIMINAL - BELO HORIZONTE,1
COLEGIO REC.DO JUIZ.ESP.CIVEL DE MOGI-MIRIM/SP,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS DE RORAIMA,1
