Origem,Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,9253
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,2616
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,939
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.BAHIA,574
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.RIO GRANDE DO SUL,410
TURMA REC.JUIZ.ESP.CÍV/CRIMINAIS DE CATAGUASES/MG,264
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,205
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PARANÁ,180
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. RIO DE JANEIRO,170
CONSELHO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS DO ESTADO DO RIO DE JANEIRO.,113
TURMA REC. DOS JUIZADOS ESPEC. FEDERAIS DO DF,85
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SANTA CATARINA,75
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,51
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.DISTRITO FEDERAL ,47
TURMA REC. ÚNICA JUIZADOS ESP. CIV. E CRIM. PARANÁ,46
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.ESPÍRITO SANTO,42
1ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,39
1ª TURMA REC.JUIZADOS ESP.COMARCA JUIZ DE FORA/MG ,37
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS/ES,37
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM.GUARATINGUETÁ/SP,35
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PERNAMBUCO,34
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,32
1º COLEGIO REC.DOS JUIZADOS ESP.CIVEIS - RECIFE/PE,29
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SERGIPE,29
