"uf","ano","populacao"
"MT","2010","3035122"
"GO","1872","160395"
"GO","1890","227572"
"GO","1900","255284"
"GO","1920","511919"
"GO","1940","661226"
"GO","1950","1010880"
"GO","1960","1626376"
"GO","1970","2460007"
"GO","1980","3229219"
"GO","1991","4012562"
"GO","2000","4996439"
"GO","2010","6003788"
"DF","1960","141742"
"DF","1970","546015"
"DF","1980","1203333"
"DF","1991","1598415"
"DF","2000","2043169"
"DF","2010","2570160"
