Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,5
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,3
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,1
