Origem,Num. de Processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,844
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SANTA CATARINA,140
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,67
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,1
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,1
