COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,506
DIREITO DO TRABALHO,602
DIREITO INTERNACIONAL,1
DIREITO ELEITORAL E PROCESSO ELEITORAL,57
DIREITO PREVIDENCIÁRIO,81
DIREITO PROCESSUAL CIVIL E DO TRABALHO,1366
DIREITO DA CRIANÇA E DO ADOLESCENTE,12
DIREITO TRIBUTÁRIO,641
DIREITO DO CONSUMIDOR,130
REGISTROS PÚBLICOS,2
DIREITO PENAL,330
DIREITO CIVIL,309
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,2544
