COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,247
DIREITO DO TRABALHO,6693
DIREITO INTERNACIONAL,10
DIREITO ELEITORAL E PROCESSO ELEITORAL,43
DIREITO MARÍTIMO,2
DIREITO PREVIDENCIÁRIO,1333
DIREITO PROCESSUAL CIVIL E DO TRABALHO,1499
DIREITO DA CRIANÇA E DO ADOLESCENTE,1
DIREITO TRIBUTÁRIO,1772
DIREITO DO CONSUMIDOR,62
REGISTROS PÚBLICOS,2
DIREITO PENAL,96
DIREITO CIVIL,346
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,4595
