COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,372
DIREITO DO TRABALHO,7228
DIREITO INTERNACIONAL,9
DIREITO ELEITORAL E PROCESSO ELEITORAL,20
DIREITO PREVIDENCIÁRIO,1735
DIREITO PROCESSUAL CIVIL E DO TRABALHO,2201
DIREITO DA CRIANÇA E DO ADOLESCENTE,4
DIREITO TRIBUTÁRIO,2112
DIREITO DO CONSUMIDOR,260
REGISTROS PÚBLICOS,3
DIREITO PENAL,154
DIREITO CIVIL,1706
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,10582
