COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,539
DIREITO DO TRABALHO,5629
DIREITO INTERNACIONAL,2
DIREITO ELEITORAL E PROCESSO ELEITORAL,56
DIREITO PREVIDENCIÁRIO,1320
DIREITO PROCESSUAL CIVIL E DO TRABALHO,2717
DIREITO DA CRIANÇA E DO ADOLESCENTE,3
DIREITO TRIBUTÁRIO,1920
DIREITO DO CONSUMIDOR,1772
REGISTROS PÚBLICOS,6
DIREITO PENAL,294
DIREITO CIVIL,782
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,4640
