COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,1875
DIREITO DO TRABALHO,1573
DIREITO INTERNACIONAL,10
DIREITO ELEITORAL E PROCESSO ELEITORAL,60
DIREITO PREVIDENCIÁRIO,674
DIREITO PROCESSUAL CIVIL E DO TRABALHO,3616
DIREITO DA CRIANÇA E DO ADOLESCENTE,15
DIREITO TRIBUTÁRIO,2687
DIREITO DO CONSUMIDOR,769
REGISTROS PÚBLICOS,157
DIREITO PENAL,623
DIREITO CIVIL,6409
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,5092
