COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,1097
DIREITO DO TRABALHO,2865
DIREITO INTERNACIONAL,5
DIREITO ELEITORAL E PROCESSO ELEITORAL,90
DIREITO MARÍTIMO,2
DIREITO PREVIDENCIÁRIO,133
DIREITO PROCESSUAL CIVIL E DO TRABALHO,2832
DIREITO DA CRIANÇA E DO ADOLESCENTE,3
DIREITO TRIBUTÁRIO,1070
DIREITO DO CONSUMIDOR,289
REGISTROS PÚBLICOS,13
DIREITO PENAL,355
DIREITO CIVIL,834
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,3524
