COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,2041
DIREITO DO TRABALHO,520
DIREITO INTERNACIONAL,8
DIREITO ELEITORAL E PROCESSO ELEITORAL,31
DIREITO PREVIDENCIÁRIO,608
DIREITO PROCESSUAL CIVIL E DO TRABALHO,2189
DIREITO DA CRIANÇA E DO ADOLESCENTE,19
DIREITO TRIBUTÁRIO,1031
DIREITO DO CONSUMIDOR,1032
REGISTROS PÚBLICOS,4
DIREITO PENAL,970
DIREITO CIVIL,5117
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,4644
