COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,2417
DIREITO DO TRABALHO,13020
DIREITO INTERNACIONAL,18
DIREITO ELEITORAL E PROCESSO ELEITORAL,48
DIREITO MARÍTIMO,2
DIREITO PREVIDENCIÁRIO,21588
DIREITO PROCESSUAL CIVIL E DO TRABALHO,10236
DIREITO DA CRIANÇA E DO ADOLESCENTE,114
DIREITO TRIBUTÁRIO,24028
DIREITO DO CONSUMIDOR,1515
REGISTROS PÚBLICOS,6
DIREITO PENAL,1189
DIREITO CIVIL,5984
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,22916
