DSC_PROCEDENCIA,year(dat_autuacao),DSC_CLASSE,count(PROCESSO.SEQ_OBJETO_INCIDENTE)
PERNAMBUCO,2010,"AÇÃO ORIGINÁRIA",1
PERNAMBUCO,2010,"AÇÃO RESCISÓRIA",2
PERNAMBUCO,2010,"AGRAVO DE INSTRUMENTO",1052
PERNAMBUCO,2010,"HABEAS CORPUS",552
PERNAMBUCO,2010,"MANDADO DE SEGURANÇA",21
PERNAMBUCO,2010,PETIÇÃO,3
PERNAMBUCO,2010,RECLAMAÇÃO,39
PERNAMBUCO,2010,"RECURSO EXTRAORDINÁRIO",348
PERNAMBUCO,2010,"RECURSO ORD. EM MANDADO DE SEGURANÇA",7
PERNAMBUCO,2010,"RECURSO ORDINÁRIO EM HABEAS CORPUS",27
PERNAMBUCO,2010,"REVISÃO CRIMINAL",8
PERNAMBUCO,2010,"SUSPENSÃO DE LIMINAR",8
PERNAMBUCO,2010,"SUSPENSÃO DE SEGURANÇA",12
PERNAMBUCO,2010,"SUSPENSÃO DE TUTELA ANTECIPADA",14
PERNAMBUCO,2011,"AÇÃO CAUTELAR",6
PERNAMBUCO,2011,"AÇÃO CÍVEL ORIGINÁRIA",5
PERNAMBUCO,2011,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",1
PERNAMBUCO,2011,"AÇÃO PENAL",13
PERNAMBUCO,2011,"AÇÃO RESCISÓRIA",1
PERNAMBUCO,2011,"AGRAVO DE INSTRUMENTO",435
PERNAMBUCO,2011,"HABEAS CORPUS",223
PERNAMBUCO,2011,INQUÉRITO,11
PERNAMBUCO,2011,"MANDADO DE SEGURANÇA",3
PERNAMBUCO,2011,RECLAMAÇÃO,7
PERNAMBUCO,2011,"RECURSO EXTRAORDINÁRIO",125
PERNAMBUCO,2011,"RECURSO EXTRAORDINÁRIO COM AGRAVO",44
PERNAMBUCO,2011,"RECURSO ORDINÁRIO EM HABEAS CORPUS",12
PERNAMBUCO,2011,"SUSPENSÃO DE LIMINAR",5
PERNAMBUCO,2011,"SUSPENSÃO DE SEGURANÇA",11
PERNAMBUCO,2011,"SUSPENSÃO DE TUTELA ANTECIPADA",5
PIAUÍ,2006,"AÇÃO CAUTELAR",10
PIAUÍ,2006,"AÇÃO CÍVEL ORIGINÁRIA",8
PIAUÍ,2006,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",3
PIAUÍ,2006,"AÇÃO ORIGINÁRIA",3
PIAUÍ,2006,"AGRAVO DE INSTRUMENTO",172
PIAUÍ,2006,"HABEAS CORPUS",11
PIAUÍ,2006,INQUÉRITO,1
PIAUÍ,2006,PETIÇÃO,2
PIAUÍ,2006,RECLAMAÇÃO,39
PIAUÍ,2006,"RECURSO EXTRAORDINÁRIO",90
PIAUÍ,2006,"RECURSO ORDINÁRIO EM HABEAS CORPUS",2
PIAUÍ,2006,"SUSPENSÃO DE LIMINAR",2
PIAUÍ,2006,"SUSPENSÃO DE SEGURANÇA",3
PIAUÍ,2006,"SUSPENSÃO DE TUTELA ANTECIPADA",2
PIAUÍ,2007,"AÇÃO CAUTELAR",9
PIAUÍ,2007,"AÇÃO CÍVEL ORIGINÁRIA",7
PIAUÍ,2007,"AÇÃO ORIGINÁRIA",15
PIAUÍ,2007,"AGRAVO DE INSTRUMENTO",135
PIAUÍ,2007,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",1
PIAUÍ,2007,"HABEAS CORPUS",29
PIAUÍ,2007,"MANDADO DE SEGURANÇA",3
PIAUÍ,2007,PETIÇÃO,4
PIAUÍ,2007,RECLAMAÇÃO,40
PIAUÍ,2007,"RECURSO EXTRAORDINÁRIO",85
PIAUÍ,2007,"SUSPENSÃO DE LIMINAR",3
PIAUÍ,2007,"SUSPENSÃO DE SEGURANÇA",10
PIAUÍ,2007,"SUSPENSÃO DE TUTELA ANTECIPADA",2
PIAUÍ,2008,"AÇÃO CAUTELAR",9
PIAUÍ,2008,"AÇÃO CÍVEL ORIGINÁRIA",5
PIAUÍ,2008,"AÇÃO ORIGINÁRIA",1
PIAUÍ,2008,"AGRAVO DE INSTRUMENTO",163
PIAUÍ,2008,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",1
PIAUÍ,2008,"HABEAS CORPUS",32
PIAUÍ,2008,PETIÇÃO,1
PIAUÍ,2008,RECLAMAÇÃO,36
PIAUÍ,2008,"RECURSO EXTRAORDINÁRIO",39
PIAUÍ,2008,"RECURSO ORDINÁRIO EM HABEAS CORPUS",2
PIAUÍ,2008,"SUSPENSÃO DE SEGURANÇA",14
PIAUÍ,2008,"SUSPENSÃO DE TUTELA ANTECIPADA",3
PIAUÍ,2009,"AÇÃO CAUTELAR",8
PIAUÍ,2009,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",2
PIAUÍ,2009,"AGRAVO DE INSTRUMENTO",267
PIAUÍ,2009,"HABEAS CORPUS",45
PIAUÍ,2009,INQUÉRITO,1
PIAUÍ,2009,"MANDADO DE SEGURANÇA",2
PIAUÍ,2009,RECLAMAÇÃO,105
PIAUÍ,2009,"RECURSO EXTRAORDINÁRIO",65
PIAUÍ,2009,"SUSPENSÃO DE LIMINAR",1
PIAUÍ,2009,"SUSPENSÃO DE SEGURANÇA",6
PIAUÍ,2009,"SUSPENSÃO DE TUTELA ANTECIPADA",12
PIAUÍ,2010,"AÇÃO CAUTELAR",7
PIAUÍ,2010,"AÇÃO CÍVEL ORIGINÁRIA",5
PIAUÍ,2010,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",1
PIAUÍ,2010,"AÇÃO PENAL",4
PIAUÍ,2010,"AGRAVO DE INSTRUMENTO",239
PIAUÍ,2010,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",15
PIAUÍ,2010,"CONFLITO DE COMPETÊNCIA",1
PIAUÍ,2010,"HABEAS CORPUS",89
PIAUÍ,2010,"MANDADO DE SEGURANÇA",5
PIAUÍ,2010,RECLAMAÇÃO,26
PIAUÍ,2010,"RECURSO EXTRAORDINÁRIO",90
PIAUÍ,2010,"SUSPENSÃO DE SEGURANÇA",21
PIAUÍ,2010,"SUSPENSÃO DE TUTELA ANTECIPADA",4
PIAUÍ,2011,"AÇÃO CAUTELAR",15
PIAUÍ,2011,"AÇÃO CÍVEL ORIGINÁRIA",2
PIAUÍ,2011,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",3
PIAUÍ,2011,"AGRAVO DE INSTRUMENTO",68
PIAUÍ,2011,"HABEAS CORPUS",43
PIAUÍ,2011,INQUÉRITO,16
PIAUÍ,2011,"MANDADO DE SEGURANÇA",1
PIAUÍ,2011,RECLAMAÇÃO,5
PIAUÍ,2011,"RECURSO EXTRAORDINÁRIO",32
PIAUÍ,2011,"RECURSO EXTRAORDINÁRIO COM AGRAVO",7
PIAUÍ,2011,"SUSPENSÃO DE SEGURANÇA",4
PIAUÍ,2011,"SUSPENSÃO DE TUTELA ANTECIPADA",1
"RIO DE JANEIRO",2006,"AÇÃO CAUTELAR",65
"RIO DE JANEIRO",2006,"AÇÃO CÍVEL ORIGINÁRIA",10
"RIO DE JANEIRO",2006,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",12
"RIO DE JANEIRO",2006,"AÇÃO ORIGINÁRIA",2
"RIO DE JANEIRO",2006,"AÇÃO RESCISÓRIA",5
"RIO DE JANEIRO",2006,"AGRAVO DE INSTRUMENTO",8436
"RIO DE JANEIRO",2006,"HABEAS CORPUS",272
"RIO DE JANEIRO",2006,INQUÉRITO,7
"RIO DE JANEIRO",2006,"INTERVENÇÃO FEDERAL",1
"RIO DE JANEIRO",2006,"MANDADO DE SEGURANÇA",14
"RIO DE JANEIRO",2006,PETIÇÃO,16
"RIO DE JANEIRO",2006,RECLAMAÇÃO,48
"RIO DE JANEIRO",2006,"RECURSO EXTRAORDINÁRIO",14931
"RIO DE JANEIRO",2006,"RECURSO ORD. EM MANDADO DE SEGURANÇA",2
"RIO DE JANEIRO",2006,"RECURSO ORDINÁRIO EM HABEAS CORPUS",21
"RIO DE JANEIRO",2006,"REVISÃO CRIMINAL",2
"RIO DE JANEIRO",2006,"SUSPENSÃO DE LIMINAR",4
"RIO DE JANEIRO",2006,"SUSPENSÃO DE SEGURANÇA",9
"RIO DE JANEIRO",2006,"SUSPENSÃO DE TUTELA ANTECIPADA",1
"RIO DE JANEIRO",2007,"AÇÃO CAUTELAR",70
"RIO DE JANEIRO",2007,"AÇÃO CÍVEL ORIGINÁRIA",15
"RIO DE JANEIRO",2007,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",6
"RIO DE JANEIRO",2007,"AÇÃO ORIGINÁRIA",2
"RIO DE JANEIRO",2007,"AÇÃO PENAL",2
"RIO DE JANEIRO",2007,"AÇÃO RESCISÓRIA",6
"RIO DE JANEIRO",2007,"AGRAVO DE INSTRUMENTO",8324
"RIO DE JANEIRO",2007,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",2
"RIO DE JANEIRO",2007,"CONFLITO DE COMPETÊNCIA",1
"RIO DE JANEIRO",2007,"EXCEÇÃO DE INCOMPETÊNCIA",1
"RIO DE JANEIRO",2007,"HABEAS CORPUS",376
"RIO DE JANEIRO",2007,INQUÉRITO,8
"RIO DE JANEIRO",2007,"INTERVENÇÃO FEDERAL",4
"RIO DE JANEIRO",2007,"MANDADO DE INJUNÇÃO",2
"RIO DE JANEIRO",2007,"MANDADO DE SEGURANÇA",12
"RIO DE JANEIRO",2007,PETIÇÃO,27
"RIO DE JANEIRO",2007,RECLAMAÇÃO,58
"RIO DE JANEIRO",2007,"RECURSO EXTRAORDINÁRIO",4083
"RIO DE JANEIRO",2007,"RECURSO ORD. EM MANDADO DE SEGURANÇA",2
"RIO DE JANEIRO",2007,"RECURSO ORDINÁRIO EM HABEAS CORPUS",24
"RIO DE JANEIRO",2007,"SUSPENSÃO DE LIMINAR",3
"RIO DE JANEIRO",2007,"SUSPENSÃO DE SEGURANÇA",11
"RIO DE JANEIRO",2007,"SUSPENSÃO DE TUTELA ANTECIPADA",9
"RIO DE JANEIRO",2008,"AÇÃO CAUTELAR",77
"RIO DE JANEIRO",2008,"AÇÃO CÍVEL ORIGINÁRIA",17
"RIO DE JANEIRO",2008,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",8
"RIO DE JANEIRO",2008,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE POR OMISSÃO",1
"RIO DE JANEIRO",2008,"AÇÃO ORIGINÁRIA",2
"RIO DE JANEIRO",2008,"AÇÃO RESCISÓRIA",4
"RIO DE JANEIRO",2008,"AGRAVO DE INSTRUMENTO",6530
"RIO DE JANEIRO",2008,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",2
"RIO DE JANEIRO",2008,"CONFLITO DE COMPETÊNCIA",4
"RIO DE JANEIRO",2008,"EXCEÇÃO DE SUSPEIÇÃO",1
"RIO DE JANEIRO",2008,"HABEAS CORPUS",428
"RIO DE JANEIRO",2008,"HABEAS DATA",1
"RIO DE JANEIRO",2008,INQUÉRITO,3
"RIO DE JANEIRO",2008,"MANDADO DE INJUNÇÃO",4
"RIO DE JANEIRO",2008,"MANDADO DE SEGURANÇA",11
"RIO DE JANEIRO",2008,PETIÇÃO,71
"RIO DE JANEIRO",2008,RECLAMAÇÃO,60
"RIO DE JANEIRO",2008,"RECURSO EXTRAORDINÁRIO",2189
"RIO DE JANEIRO",2008,"RECURSO ORD. EM MANDADO DE SEGURANÇA",1
"RIO DE JANEIRO",2008,"RECURSO ORDINÁRIO EM HABEAS CORPUS",18
"RIO DE JANEIRO",2008,"REVISÃO CRIMINAL",2
"RIO DE JANEIRO",2008,"SUSPENSÃO DE LIMINAR",5
"RIO DE JANEIRO",2008,"SUSPENSÃO DE SEGURANÇA",23
"RIO DE JANEIRO",2008,"SUSPENSÃO DE TUTELA ANTECIPADA",22
"RIO DE JANEIRO",2009,"AÇÃO CAUTELAR",59
"RIO DE JANEIRO",2009,"AÇÃO CÍVEL ORIGINÁRIA",35
"RIO DE JANEIRO",2009,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",12
"RIO DE JANEIRO",2009,"AÇÃO ORIGINÁRIA",2
"RIO DE JANEIRO",2009,"AÇÃO ORIGINÁRIA ESPECIAL",2
"RIO DE JANEIRO",2009,"AÇÃO RESCISÓRIA",3
"RIO DE JANEIRO",2009,"AGRAVO DE INSTRUMENTO",5873
"RIO DE JANEIRO",2009,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",5
"RIO DE JANEIRO",2009,"CONFLITO DE COMPETÊNCIA",1
"RIO DE JANEIRO",2009,EXTRADIÇÃO,1
"RIO DE JANEIRO",2009,"HABEAS CORPUS",753
"RIO DE JANEIRO",2009,INQUÉRITO,11
"RIO DE JANEIRO",2009,"MANDADO DE INJUNÇÃO",4
"RIO DE JANEIRO",2009,"MANDADO DE SEGURANÇA",21
"RIO DE JANEIRO",2009,PETIÇÃO,95
"RIO DE JANEIRO",2009,RECLAMAÇÃO,138
"RIO DE JANEIRO",2009,"RECURSO EXTRAORDINÁRIO",1092
"RIO DE JANEIRO",2009,"RECURSO ORD. EM MANDADO DE SEGURANÇA",1
"RIO DE JANEIRO",2009,"RECURSO ORDINÁRIO EM HABEAS CORPUS",42
"RIO DE JANEIRO",2009,"REVISÃO CRIMINAL",1
"RIO DE JANEIRO",2009,"SUSPENSÃO DE LIMINAR",4
"RIO DE JANEIRO",2009,"SUSPENSÃO DE SEGURANÇA",56
"RIO DE JANEIRO",2009,"SUSPENSÃO DE TUTELA ANTECIPADA",24
"RIO DE JANEIRO",2010,"AÇÃO CAUTELAR",106
"RIO DE JANEIRO",2010,"AÇÃO CÍVEL ORIGINÁRIA",39
"RIO DE JANEIRO",2010,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",8
"RIO DE JANEIRO",2010,"AÇÃO PENAL",11
"RIO DE JANEIRO",2010,"AÇÃO RESCISÓRIA",17
"RIO DE JANEIRO",2010,"AGRAVO DE INSTRUMENTO",8151
"RIO DE JANEIRO",2010,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",1
"RIO DE JANEIRO",2010,"CONFLITO DE COMPETÊNCIA",8
"RIO DE JANEIRO",2010,"HABEAS CORPUS",1171
"RIO DE JANEIRO",2010,INQUÉRITO,43
"RIO DE JANEIRO",2010,"MANDADO DE INJUNÇÃO",3
"RIO DE JANEIRO",2010,"MANDADO DE SEGURANÇA",40
"RIO DE JANEIRO",2010,PETIÇÃO,78
"RIO DE JANEIRO",2010,RECLAMAÇÃO,176
"RIO DE JANEIRO",2010,"RECURSO EXTRAORDINÁRIO",2176
"RIO DE JANEIRO",2010,"RECURSO ORD. EM MANDADO DE SEGURANÇA",13
"RIO DE JANEIRO",2010,"RECURSO ORDINÁRIO EM HABEAS CORPUS",99
"RIO DE JANEIRO",2010,"REVISÃO CRIMINAL",5
"RIO DE JANEIRO",2010,"SUSPENSÃO DE LIMINAR",22
"RIO DE JANEIRO",2010,"SUSPENSÃO DE SEGURANÇA",82
"RIO DE JANEIRO",2010,"SUSPENSÃO DE TUTELA ANTECIPADA",22
"RIO DE JANEIRO",2011,"AÇÃO CAUTELAR",18
"RIO DE JANEIRO",2011,"AÇÃO CÍVEL ORIGINÁRIA",3
"RIO DE JANEIRO",2011,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",4
"RIO DE JANEIRO",2011,"AÇÃO PENAL",10
"RIO DE JANEIRO",2011,"AÇÃO RESCISÓRIA",1
"RIO DE JANEIRO",2011,"AGRAVO DE INSTRUMENTO",2510
"RIO DE JANEIRO",2011,"CONFLITO DE COMPETÊNCIA",11
"RIO DE JANEIRO",2011,"HABEAS CORPUS",545
"RIO DE JANEIRO",2011,INQUÉRITO,54
"RIO DE JANEIRO",2011,"MANDADO DE INJUNÇÃO",8
"RIO DE JANEIRO",2011,"MANDADO DE SEGURANÇA",23
"RIO DE JANEIRO",2011,PETIÇÃO,18
"RIO DE JANEIRO",2011,RECLAMAÇÃO,73
"RIO DE JANEIRO",2011,"RECURSO EXTRAORDINÁRIO",527
"RIO DE JANEIRO",2011,"RECURSO EXTRAORDINÁRIO COM AGRAVO",834
"RIO DE JANEIRO",2011,"RECURSO ORD. EM MANDADO DE SEGURANÇA",1
"RIO DE JANEIRO",2011,"RECURSO ORDINÁRIO EM HABEAS CORPUS",50
"RIO DE JANEIRO",2011,"SUSPENSÃO DE LIMINAR",2
"RIO DE JANEIRO",2011,"SUSPENSÃO DE SEGURANÇA",2
"RIO DE JANEIRO",2011,"SUSPENSÃO DE TUTELA ANTECIPADA",6
"RIO GRANDE DO NORTE",2006,"AÇÃO CAUTELAR",2
"RIO GRANDE DO NORTE",2006,"AÇÃO CÍVEL ORIGINÁRIA",5
"RIO GRANDE DO NORTE",2006,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",7
"RIO GRANDE DO NORTE",2006,"AÇÃO RESCISÓRIA",1
"RIO GRANDE DO NORTE",2006,"AGRAVO DE INSTRUMENTO",365
"RIO GRANDE DO NORTE",2006,"HABEAS CORPUS",12
"RIO GRANDE DO NORTE",2006,PETIÇÃO,2
"RIO GRANDE DO NORTE",2006,RECLAMAÇÃO,11
"RIO GRANDE DO NORTE",2006,"RECURSO EXTRAORDINÁRIO",1580
"RIO GRANDE DO NORTE",2006,"SUSPENSÃO DE SEGURANÇA",2
"RIO GRANDE DO NORTE",2007,"AÇÃO CAUTELAR",7
"RIO GRANDE DO NORTE",2007,"AÇÃO CÍVEL ORIGINÁRIA",2
"RIO GRANDE DO NORTE",2007,"AGRAVO DE INSTRUMENTO",276
"RIO GRANDE DO NORTE",2007,"HABEAS CORPUS",12
"RIO GRANDE DO NORTE",2007,INQUÉRITO,2
"RIO GRANDE DO NORTE",2007,"MANDADO DE SEGURANÇA",2
"RIO GRANDE DO NORTE",2007,PETIÇÃO,3
"RIO GRANDE DO NORTE",2007,RECLAMAÇÃO,9
"RIO GRANDE DO NORTE",2007,"RECURSO EXTRAORDINÁRIO",1404
"RIO GRANDE DO NORTE",2007,"SUSPENSÃO DE SEGURANÇA",12
"RIO GRANDE DO NORTE",2007,"SUSPENSÃO DE TUTELA ANTECIPADA",10
"RIO GRANDE DO NORTE",2008,"AÇÃO CAUTELAR",3
"RIO GRANDE DO NORTE",2008,"AÇÃO CÍVEL ORIGINÁRIA",2
"RIO GRANDE DO NORTE",2008,"AGRAVO DE INSTRUMENTO",258
"RIO GRANDE DO NORTE",2008,"HABEAS CORPUS",21
"RIO GRANDE DO NORTE",2008,PETIÇÃO,1
"RIO GRANDE DO NORTE",2008,RECLAMAÇÃO,39
"RIO GRANDE DO NORTE",2008,"RECURSO EXTRAORDINÁRIO",615
"RIO GRANDE DO NORTE",2008,"RECURSO ORDINÁRIO EM HABEAS CORPUS",2
"RIO GRANDE DO NORTE",2008,"SUSPENSÃO DE LIMINAR",1
"RIO GRANDE DO NORTE",2008,"SUSPENSÃO DE SEGURANÇA",21
"RIO GRANDE DO NORTE",2008,"SUSPENSÃO DE TUTELA ANTECIPADA",9
"RIO GRANDE DO NORTE",2009,"AÇÃO CAUTELAR",3
"RIO GRANDE DO NORTE",2009,"AÇÃO CÍVEL ORIGINÁRIA",4
"RIO GRANDE DO NORTE",2009,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",1
"RIO GRANDE DO NORTE",2009,"AGRAVO DE INSTRUMENTO",663
"RIO GRANDE DO NORTE",2009,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",2
"RIO GRANDE DO NORTE",2009,"HABEAS CORPUS",37
"RIO GRANDE DO NORTE",2009,"MANDADO DE SEGURANÇA",8
"RIO GRANDE DO NORTE",2009,RECLAMAÇÃO,433
"RIO GRANDE DO NORTE",2009,"RECURSO EXTRAORDINÁRIO",396
"RIO GRANDE DO NORTE",2009,"SUSPENSÃO DE LIMINAR",2
"RIO GRANDE DO NORTE",2009,"SUSPENSÃO DE SEGURANÇA",3
"RIO GRANDE DO NORTE",2009,"SUSPENSÃO DE TUTELA ANTECIPADA",6
"RIO GRANDE DO NORTE",2010,"AÇÃO CAUTELAR",6
"RIO GRANDE DO NORTE",2010,"AÇÃO CÍVEL ORIGINÁRIA",1
"RIO GRANDE DO NORTE",2010,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",2
"RIO GRANDE DO NORTE",2010,"AGRAVO DE INSTRUMENTO",491
"RIO GRANDE DO NORTE",2010,"HABEAS CORPUS",77
"RIO GRANDE DO NORTE",2010,INQUÉRITO,5
"RIO GRANDE DO NORTE",2010,"MANDADO DE SEGURANÇA",4
"RIO GRANDE DO NORTE",2010,RECLAMAÇÃO,317
"RIO GRANDE DO NORTE",2010,"RECURSO EXTRAORDINÁRIO",581
"RIO GRANDE DO NORTE",2010,"SUSPENSÃO DE LIMINAR",10
"RIO GRANDE DO NORTE",2010,"SUSPENSÃO DE SEGURANÇA",8
"RIO GRANDE DO NORTE",2010,"SUSPENSÃO DE TUTELA ANTECIPADA",5
"RIO GRANDE DO NORTE",2011,"AÇÃO CAUTELAR",3
"RIO GRANDE DO NORTE",2011,"AÇÃO CÍVEL ORIGINÁRIA",3
"RIO GRANDE DO NORTE",2011,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",2
"RIO GRANDE DO NORTE",2011,"AÇÃO ORIGINÁRIA",1
"RIO GRANDE DO NORTE",2011,"AGRAVO DE INSTRUMENTO",119
"RIO GRANDE DO NORTE",2011,"HABEAS CORPUS",19
"RIO GRANDE DO NORTE",2011,"MANDADO DE INJUNÇÃO",1
"RIO GRANDE DO NORTE",2011,"MANDADO DE SEGURANÇA",2
"RIO GRANDE DO NORTE",2011,PETIÇÃO,1
"RIO GRANDE DO NORTE",2011,RECLAMAÇÃO,75
"RIO GRANDE DO NORTE",2011,"RECURSO EXTRAORDINÁRIO",151
"RIO GRANDE DO NORTE",2011,"RECURSO EXTRAORDINÁRIO COM AGRAVO",39
"RIO GRANDE DO SUL",2006,"AÇÃO CAUTELAR",22
"RIO GRANDE DO SUL",2006,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",8
"RIO GRANDE DO SUL",2006,"AÇÃO PENAL",1
"RIO GRANDE DO SUL",2006,"AÇÃO RESCISÓRIA",5
"RIO GRANDE DO SUL",2006,"AGRAVO DE INSTRUMENTO",11322
"RIO GRANDE DO SUL",2006,"CONFLITO DE COMPETÊNCIA",18
"RIO GRANDE DO SUL",2006,"HABEAS CORPUS",189
"RIO GRANDE DO SUL",2006,"INTERVENÇÃO FEDERAL",47
"RIO GRANDE DO SUL",2006,"MANDADO DE INJUNÇÃO",2
"RIO GRANDE DO SUL",2006,"MANDADO DE SEGURANÇA",7
"RIO GRANDE DO SUL",2006,PETIÇÃO,8
"RIO GRANDE DO SUL",2006,RECLAMAÇÃO,88
"RIO GRANDE DO SUL",2006,"RECURSO EXTRAORDINÁRIO",9620
"RIO GRANDE DO SUL",2006,"RECURSO ORDINÁRIO EM HABEAS CORPUS",12
"RIO GRANDE DO SUL",2006,"REVISÃO CRIMINAL",1
"RIO GRANDE DO SUL",2006,"SUSPENSÃO DE LIMINAR",1
"RIO GRANDE DO SUL",2006,"SUSPENSÃO DE SEGURANÇA",3
"RIO GRANDE DO SUL",2006,"SUSPENSÃO DE TUTELA ANTECIPADA",7
"RIO GRANDE DO SUL",2007,"AÇÃO CAUTELAR",39
"RIO GRANDE DO SUL",2007,"AÇÃO CÍVEL ORIGINÁRIA",5
"RIO GRANDE DO SUL",2007,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",1
"RIO GRANDE DO SUL",2007,"AÇÃO ORIGINÁRIA",1
"RIO GRANDE DO SUL",2007,"AÇÃO PENAL",2
"RIO GRANDE DO SUL",2007,"AÇÃO RESCISÓRIA",5
"RIO GRANDE DO SUL",2007,"AGRAVO DE INSTRUMENTO",8469
"RIO GRANDE DO SUL",2007,"CONFLITO DE COMPETÊNCIA",7
"RIO GRANDE DO SUL",2007,"EXCEÇÃO DE SUSPEIÇÃO",1
"RIO GRANDE DO SUL",2007,"HABEAS CORPUS",224
"RIO GRANDE DO SUL",2007,INQUÉRITO,2
"RIO GRANDE DO SUL",2007,"INTERVENÇÃO FEDERAL",24
"RIO GRANDE DO SUL",2007,"MANDADO DE SEGURANÇA",11
"RIO GRANDE DO SUL",2007,PETIÇÃO,10
"RIO GRANDE DO SUL",2007,RECLAMAÇÃO,34
"RIO GRANDE DO SUL",2007,"RECURSO EXTRAORDINÁRIO",11706
"RIO GRANDE DO SUL",2007,"RECURSO ORDINÁRIO EM HABEAS CORPUS",6
"RIO GRANDE DO SUL",2007,"REVISÃO CRIMINAL",1
"RIO GRANDE DO SUL",2007,"SUSPENSÃO DE LIMINAR",4
"RIO GRANDE DO SUL",2007,"SUSPENSÃO DE SEGURANÇA",3
"RIO GRANDE DO SUL",2007,"SUSPENSÃO DE TUTELA ANTECIPADA",4
"RIO GRANDE DO SUL",2008,"AÇÃO CAUTELAR",26
"RIO GRANDE DO SUL",2008,"AÇÃO CÍVEL ORIGINÁRIA",9
"RIO GRANDE DO SUL",2008,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",1
"RIO GRANDE DO SUL",2008,"AÇÃO ORIGINÁRIA",1
"RIO GRANDE DO SUL",2008,"AÇÃO RESCISÓRIA",5
"RIO GRANDE DO SUL",2008,"AGRAVO DE INSTRUMENTO",6177
"RIO GRANDE DO SUL",2008,"CONFLITO DE COMPETÊNCIA",3
"RIO GRANDE DO SUL",2008,"HABEAS CORPUS",487
"RIO GRANDE DO SUL",2008,INQUÉRITO,1
"RIO GRANDE DO SUL",2008,"INTERVENÇÃO FEDERAL",19
"RIO GRANDE DO SUL",2008,"MANDADO DE INJUNÇÃO",1
"RIO GRANDE DO SUL",2008,"MANDADO DE SEGURANÇA",8
"RIO GRANDE DO SUL",2008,PETIÇÃO,3
"RIO GRANDE DO SUL",2008,RECLAMAÇÃO,88
"RIO GRANDE DO SUL",2008,"RECURSO EXTRAORDINÁRIO",4608
"RIO GRANDE DO SUL",2008,"RECURSO ORD. EM MANDADO DE SEGURANÇA",2
"RIO GRANDE DO SUL",2008,"RECURSO ORDINÁRIO EM HABEAS CORPUS",10
"RIO GRANDE DO SUL",2008,"SUSPENSÃO DE LIMINAR",3
"RIO GRANDE DO SUL",2008,"SUSPENSÃO DE SEGURANÇA",5
"RIO GRANDE DO SUL",2008,"SUSPENSÃO DE TUTELA ANTECIPADA",9
"RIO GRANDE DO SUL",2009,"AÇÃO CAUTELAR",35
"RIO GRANDE DO SUL",2009,"AÇÃO CÍVEL ORIGINÁRIA",6
"RIO GRANDE DO SUL",2009,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",1
"RIO GRANDE DO SUL",2009,"AÇÃO ORIGINÁRIA",1
"RIO GRANDE DO SUL",2009,"AÇÃO PENAL",1
"RIO GRANDE DO SUL",2009,"AÇÃO RESCISÓRIA",4
"RIO GRANDE DO SUL",2009,"AGRAVO DE INSTRUMENTO",9039
"RIO GRANDE DO SUL",2009,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",1
"RIO GRANDE DO SUL",2009,"ARGÜIÇÃO DE IMPEDIMENTO",1
"RIO GRANDE DO SUL",2009,"CONFLITO DE COMPETÊNCIA",1
"RIO GRANDE DO SUL",2009,"HABEAS CORPUS",646
"RIO GRANDE DO SUL",2009,INQUÉRITO,1
"RIO GRANDE DO SUL",2009,"INTERVENÇÃO FEDERAL",38
