Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,1014
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,668
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,94
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM.GUARATINGUETÁ/SP,35
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS DE BAURU/SP,23
1º COL.REC.DOS JUIZ.ESP.CIV.DA COM. DA CAPITAL/SP,23
3º COLEGIO REC.JUIZ.ESP.CIVEIS DA CAPITAL/SP,11
TURMA REC. DOS JUIZADOS ESP. FED. DE OSASCO/SP,11
COLEGIO REC.DOS JUIZ.ESP.CIVEL DE PIRASSUNUNGA/SP,7
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL DE TUPÃ,7
COLÉGIO REC.JUIZ.ESP.CIVEL DA COM.DE SAO CARLOS/SP,7
2º COLEGIO REC.DOS JUIZ. ESP.CIVEIS DA CAPITAL/SP,6
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. SÃO PAULO,6
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,5
1ª TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SÃO PAULO,5
COLÉGIO RECURSAL JUIZ.ESP.CÍVEL DA COMARCA JUNDIAI,4
COLÉGIO REC.JUIZ.ESP.CIVEL DA COM.DE VOTUPORANGA,4
COLÉGIO REC.DO JUIZ.ESP.CIVEL DA COM.DE PIRACICABA,3
4º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,3
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SÃO PAULO,3
6º COLÉGIO REC. DO JUIZ. ESP. CÍVEL DA COMARCA DA CAPITAL/SP,3
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. TAUBATÉ/SP,3
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. SÃO VICENTE/SP,3
5º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,2
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ARARAQUARA /SP ,2
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,2
COL.REC.JUIZ.ESP.CÍVEIS 44ª CIRC. JUD.GUARULHOS/SP,2
COLÉGIO REC.JUIZADO ESPECIAL CÍVEL DE ARAÇATUBA/SP,2
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COMARCA DE OSASCO ,2
COLÉGIO REC. JUIZ. ESP. CIVEIS DE PRES.PRUDENTE/SP,2
COLÉGIO REC. DO JUIZADO ESPECIAL DE SANTOS,2
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 3º REGIÃO,1
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,1
TURMA REC. DOS JUIZADOS ESP. FED. DE CAMPINAS/SP,1
COLEGIO REC.JUIZ.ESP.CIVEL COMAR. PRES.PRUDENTE/SP,1
COL. REC. JUIZADO ESP. CÍVEL MOGI DAS CRUZES/SP,1
JUIZADOS ESPECIAIS (ART.98 DA C.F.),1
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ITÚ/SP,1
COLEGIO REC.DO JUIZ.ESP.CIVEL- COM.DE SANTO ANDRE,1
COLÉGIO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS DA COMARCA DE ITAPETININGA/SP,1
COLEGIO REC.DO JUIZ.ESP.CIV.DA COM.DE RIO CLARO/SP,1
COLEGIO REC.DOS JUIZ. ESP.DA COMARCA DE AMERICANA/SP,1
COLEGIO REC.DO JUIZ.ESP.CIVEL DE MOGI-MIRIM/SP,1
