Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,491
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,18
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,1
