uf,processos
AC,93
AL,719
AM,514
AP,131
BA,2153
CE,1103
DF,4389
ES,641
GO,562
MA,589
MG,20864
MS,327
MT,446
PA,844
PB,878
PE,734
PI,226
PR,10368
RJ,9349
RN,1367
RO,140
RR,74
RS,15135
SC,7008
SE,206
SP,16311
TO,49
