nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
EST DO PI,84,43,91,141,113,102,204,161,132,125
CEF,87,128,78,103,56,39,8,8,7,3
UNIÃO,4,10,46,59,47,41,50,68,13,10
CEPISA,0,5,2,0,1,7,1,2,81,98
INSS,1,3,13,23,24,33,37,14,8,6
SUP TRIBUNAL DE JUS,0,4,1,6,7,9,12,17,17,12
FUNASA,0,0,2,1,45,32,2,0,0,0
MIN PUB DO EST DO PI,0,0,5,2,9,12,12,19,9,10
IAPEP,5,2,7,5,3,10,7,2,6,2
FUFPI,1,0,1,0,16,18,1,6,4,1
