nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CEF,283,410,293,171,54,58,10,2,3,1
EST DO MA,23,34,27,80,63,103,127,185,112,52
UNIÃO,5,18,34,90,34,15,60,60,30,19
TELEMAR NORTE LESTE SA,0,0,2,27,0,6,91,114,34,14
BEM,14,67,47,40,37,7,7,6,7,9
BANCO DO NORDESTE DO BRASIL SA,4,2,18,19,10,14,13,15,12,1
MIN PUB FED,9,8,4,12,19,17,8,9,12,5
MUN DE SÃO LUÍS,0,2,5,6,4,15,24,6,11,8
FILIAL MARANHÃO,0,0,37,42,0,0,0,0,0,0
MIN PUB DO EST DO MA,1,0,4,10,10,6,13,11,11,5
