nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
UNIÃO,11,32,47,148,668,24,49,49,28,19
EST DE RO,12,9,48,31,40,81,75,96,192,75
MIN PUB DO EST DE RO,2,0,35,25,23,58,62,39,31,26
CEF,24,21,51,58,8,5,5,3,0,0
MUN DE PORTO VELHO,0,1,0,56,7,6,2,13,38,4
MIN PUB FED,6,2,3,15,15,15,16,14,13,6
INSS,2,8,2,14,8,10,18,11,5,10
GOVERNADOR DO EST DE RO,2,7,3,14,7,4,5,7,14,4
BRASIL TELECOM SA,0,0,0,1,3,6,32,23,1,0
SUP TRIBUNAL DE JUS,2,2,3,1,15,16,3,6,8,4
