Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,10
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,8
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,2
