origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,124
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,39
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
