origem,processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,230
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,86
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,23
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,13
COLÉGIO REC. JUIZADO ESPECIAL CÍVEL COM. DE JAÚ/SP,2
3º COLEGIO REC.JUIZ.ESP.CIVEIS DA CAPITAL/SP,1
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM.GUARATINGUETÁ/SP,1
TURMA JULG. CRIM. JUIZADOS ESP. COMARCA GOIÂNIA-GO,1
COLÉGIO REC.DO JUIZ.ESP.CIVEL DA COM.DE PIRACICABA,1
