origem,processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,598
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,540
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,300
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,6
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ARARAQUARA /SP ,2
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,2
2º COLEGIO REC. JUIZ.ESP.CIVEIS DA  CAPITAL/SP,2
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,1
TURMA REC. DOS JUIZADOS ESP. FED. DE OSASCO/SP,1
COLÉGIO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS DA COMARCA DE ITAPETININGA/SP,1
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,1
COLEGIO REC.DOS JUIZ. ESP.DA COMARCA DE AMERICANA/SP,1
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS DE BAURU/SP,1
3º COLEGIO REC.JUIZ.ESP.CIVEIS DA CAPITAL/SP,1
2º COLEGIO REC.DOS JUIZ. ESP.CIVEIS DA CAPITAL/SP,1
COL. REC. DO JUIZ. ESP.CÍV. DA COM. DE SÃO CAETANO DO SUL,1
4º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,1
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,1
COLÉGIO REC. JUIZ. ESP. CIVEIS DE PRES.PRUDENTE/SP,1
COL. REC. JUIZADO ESP. CÍVEL MOGI DAS CRUZES/SP,1
