origem,processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,192
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,146
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,18
JUIZADOS ESPECIAIS DE PEQUENAS CAUSAS  DE BAURU/SP,5
JUIZADO DE PEQUENAS CAUSAS,4
COLEGIO REC.JUIZ.ESP.CIVEIS E CRIMINAIS DO ESTADO ,3
1º COL.REC.DOS JUIZ.ESP.CIV.DA COM. DA CAPITAL/SP,3
JUIZADO ESPECIAL CIVEL DA COMARCA DE BAURU ,2
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,2
JUIZADOS ESPECIAIS (ART.98 DA C.F.),1
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,1
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
COL. REC. DO JUIZ. ESP.CÍV. DA COM. DE SÃO CAETANO DO SUL,1
JUIZADO ESPECIAL CIVEL DA COMARCA DE SOROCABA,1
2º COLEGIO REC.DOS JUIZ. ESP.CIVEIS DA CAPITAL/SP,1
COLÉGIO RECURSAL JUIZ.ESP.CÍVEL DA COMARCA JUNDIAI,1
2º COLEGIO REC. JUIZ.ESP.CIVEIS DA  CAPITAL/SP,1
